text,label
Activate your bonus offer by logging in now.,1
You have 24 hours to verify your account before suspension.,1
Confirm your payment method to continue using Netflix.,1
Complete your KYC to continue using your banking services.,1
Your account will be permanently closed unless verified today.,1
The project report is attached. Please review it before the meeting.,0
The project report is attached. Please review it before the meeting.,0
You have 24 hours to verify your account before suspension.,1
URGENT: Update your bank details immediately to avoid suspension.,1
Your order #45823 has been shipped successfully.,0
Your PayPal account has been restricted. Confirm your information.,1
Team meeting scheduled for Monday at 10 AM.,0
You have won a cash reward of $5000! Click here to receive it.,1
Your internet connection has been upgraded successfully.,0
Provide your credit card information to verify your purchase.,1
Meeting reminder: Sales discussion at 2 PM today.,0
Team meeting scheduled for Monday at 10 AM.,0
Claim your free Amazon gift card now!,1
"Hey John, can we reschedule our meeting for tomorrow?",0
Lunch break today at 1:00 PM in the cafeteria.,0
Your account statement for September is ready to download.,0
Claim your free Amazon gift card now!,1
Thanks for your response. Looking forward to our collaboration.,0
You have won a cash reward of $5000! Click here to receive it.,1
Please find attached the invoice for your recent purchase.,0
Attached is the list of students for next week’s workshop.,0
Your parcel cannot be delivered. Enter your card details to reschedule.,1
Can you review the attached presentation and share feedback?,0
Your subscription has been renewed successfully.,0
Your payment was processed successfully.,0
Your account has been locked. Click here to verify your credentials.,1
Lunch break today at 1:00 PM in the cafeteria.,0
Complete your KYC to continue using your banking services.,1
Your subscription has been renewed successfully.,0
Your account has been locked. Click here to verify your credentials.,1
Provide the OTP to win $1200 instantly!,1
"Hey John, can we reschedule our meeting for tomorrow?",0
Update your billing information to prevent service disruption.,1
Claim your free Amazon gift card now!,1
Please find attached the invoice for your recent purchase.,0
"Hey John, can we reschedule our meeting for tomorrow?",0
Activate your bonus offer by logging in now.,1
Your payment was processed successfully.,0
Claim your free Amazon gift card now!,1
Your parcel has been dispatched and will arrive in 2 days.,0
Provide your credit card information to verify your purchase.,1
Team meeting scheduled for Monday at 10 AM.,0
Your account will be permanently closed unless verified today.,1
"Your payment of ₹2,499 has been received successfully.",0
Reset your password to restore access to your account.,1
Thanks for your response. Looking forward to our collaboration.,0
Lunch break today at 1:00 PM in the cafeteria.,0
"Your payment of ₹2,499 has been received successfully.",0
The project report is attached. Please review it before the meeting.,0
Your subscription has been renewed successfully.,0
Attached is the list of students for next week’s workshop.,0
Update your billing information to prevent service disruption.,1
Team meeting scheduled for Monday at 10 AM.,0
Claim your free Amazon gift card now!,1
Your subscription has been renewed successfully.,0
Provide the OTP to win $1200 instantly!,1
Can you review the attached presentation and share feedback?,0
Can you review the attached presentation and share feedback?,0
Your account will be permanently closed unless verified today.,1
Your account has been locked. Click here to verify your credentials.,1
Reset your password to restore access to your account.,1
Your parcel cannot be delivered. Enter your card details to reschedule.,1
We couldn’t process your payment. Re-enter your card details.,1
Confirm your payment method to continue using Netflix.,1
Your subscription has been renewed successfully.,0
Attached is the list of students for next week’s workshop.,0
Important notice: Your tax refund is pending. Click here to proceed.,1
Important notice: Your tax refund is pending. Click here to proceed.,1
Lunch break today at 1:00 PM in the cafeteria.,0
Your account will be permanently closed unless verified today.,1
Your parcel cannot be delivered. Enter your card details to reschedule.,1
Important notice: Your tax refund is pending. Click here to proceed.,1
You have won a cash reward of $5000! Click here to receive it.,1
Your payment was processed successfully.,0
"Your payment of ₹2,499 has been received successfully.",0
Provide the OTP to win $1200 instantly!,1
Provide your credit card information to verify your purchase.,1
The conference call will begin in 5 minutes.,0
"Hey John, can we reschedule our meeting for tomorrow?",0
"Your payment of ₹2,499 has been received successfully.",0
Your account has been locked. Click here to verify your credentials.,1
Confirm your payment method to continue using Netflix.,1
Your parcel cannot be delivered. Enter your card details to reschedule.,1
You have won a cash reward of $5000! Click here to receive it.,1
Your account has been locked. Click here to verify your credentials.,1
"Your payment of ₹2,499 has been received successfully.",0
Attached is the list of students for next week’s workshop.,0
Your payment was processed successfully.,0
Claim your free Amazon gift card now!,1
Meeting reminder: Sales discussion at 2 PM today.,0
Your subscription has been renewed successfully.,0
Important notice: Your tax refund is pending. Click here to proceed.,1
Claim your free Amazon gift card now!,1
The conference call will begin in 5 minutes.,0
Happy Birthday! Wishing you a fantastic year ahead.,0
Your account has been locked. Click here to verify your credentials.,1
The conference call will begin in 5 minutes.,0
Congratulations! You've been selected for a free iPhone. Claim now!,1
Can you review the attached presentation and share feedback?,0
Meeting reminder: Sales discussion at 2 PM today.,0
Attached is the list of students for next week’s workshop.,0
Please find attached the invoice for your recent purchase.,0
We noticed unusual login attempts. Please verify your account.,1
Activate your bonus offer by logging in now.,1
Your parcel cannot be delivered. Enter your card details to reschedule.,1
Your account will be permanently closed unless verified today.,1
Congratulations! You've been selected for a free iPhone. Claim now!,1
You have won a cash reward of $5000! Click here to receive it.,1
Thanks for your response. Looking forward to our collaboration.,0
"Hey John, can we reschedule our meeting for tomorrow?",0
Suspicious activity detected. Verify your identity immediately.,1
Activate your bonus offer by logging in now.,1
Your order #45823 has been shipped successfully.,0
Your parcel has been dispatched and will arrive in 2 days.,0
Reset your password to restore access to your account.,1
Confirm your payment method to continue using Netflix.,1
"Hey John, can we reschedule our meeting for tomorrow?",0
Confirm your payment method to continue using Netflix.,1
We noticed unusual login attempts. Please verify your account.,1
You have 24 hours to verify your account before suspension.,1
The project report is attached. Please review it before the meeting.,0
The project report is attached. Please review it before the meeting.,0
Suspicious activity detected. Verify your identity immediately.,1
Activate your bonus offer by logging in now.,1
"Your payment of ₹2,499 has been received successfully.",0
Your parcel cannot be delivered. Enter your card details to reschedule.,1
Your parcel has been dispatched and will arrive in 2 days.,0
We couldn’t process your payment. Re-enter your card details.,1
"Hey John, can we reschedule our meeting for tomorrow?",0
Activate your bonus offer by logging in now.,1
Your OTP for login is 542367. Do not share it with anyone.,0
"Your payment of ₹2,499 has been received successfully.",0
Provide your credit card information to verify your purchase.,1
Your account statement for September is ready to download.,0
The project report is attached. Please review it before the meeting.,0
Attached is the list of students for next week’s workshop.,0
"Hey John, can we reschedule our meeting for tomorrow?",0
You have won a cash reward of $5000! Click here to receive it.,1
Your internet connection has been upgraded successfully.,0
Confirm your payment method to continue using Netflix.,1
Confirm your payment method to continue using Netflix.,1
Attached is the list of students for next week’s workshop.,0
Congratulations! You've been selected for a free iPhone. Claim now!,1
"Hey John, can we reschedule our meeting for tomorrow?",0
Provide your credit card information to verify your purchase.,1
Your payment was processed successfully.,0
Thank you for choosing our service.,0
You have won a cash reward of $5000! Click here to receive it.,1
Complete your KYC to continue using your banking services.,1
Can you review the attached presentation and share feedback?,0
Your account has been locked. Click here to verify your credentials.,1
We couldn’t process your payment. Re-enter your card details.,1
"Your payment of ₹2,499 has been received successfully.",0
We noticed unusual login attempts. Please verify your account.,1
"Your payment of ₹2,499 has been received successfully.",0
"Your payment of ₹2,499 has been received successfully.",0
